Unnamed: 0,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
45,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.8,787.7482616949535
46,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.8,796.558455692581
47,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.8,801.4402479180591
36,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.85,783.8434641943652
37,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.85,805.0404122925902
38,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.85,816.6421227734186
39,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.85,823.4815478952312
28,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.9,797.1815945797708
29,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.9,822.8875447747639
30,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.9,837.3703638962184
31,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.9,846.2302510453001
20,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.95,811.033566887707
21,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.95,841.4222252566431
22,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.95,858.8971456661293
23,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.95,869.8553316953594
12,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.975,818.1893657597963
13,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.975,850.9970672169305
14,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.975,870.0176790663143
15,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.975,882.0598266012476
4,2024-10-30,ILI incidence,2024-10-27,1,GR,quantile,0.99,822.5664079704479
5,2024-10-30,ILI incidence,2024-11-03,2,GR,quantile,0.99,856.8537840097908
6,2024-10-30,ILI incidence,2024-11-10,3,GR,quantile,0.99,876.8198607608591
7,2024-10-30,ILI incidence,2024-11-17,4,GR,quantile,0.99,889.525043318156
92,2024-10-30,ILI incidence,2024-10-27,1,GR,median,,698.1627877714021
93,2024-10-30,ILI incidence,2024-11-03,2,GR,median,,690.3950805183518
94,2024-10-30,ILI incidence,2024-11-10,3,GR,median,,683.4892993160138
95,2024-10-30,ILI incidence,2024-11-17,4,GR,median,,677.3498024914084
0,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.01,177.06940817679558
1,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.01,155.87584160638772
2,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.01,141.73459580020435
3,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.01,133.33655101300965
8,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.025,178.2156185730052
9,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.025,157.848438657018
10,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.025,144.3133305410422
11,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.025,136.32148012023123
16,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.05,180.08949839084522
17,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.05,161.07333507579966
18,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.05,148.52916997366168
19,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.05,141.20138561594334
24,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.1,183.71689650656973
25,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.1,167.31598899710585
26,2024-10-30,ILI incidence,2024-11-10,3,HU,quantile,0.1,156.6900604792804
27,2024-10-30,ILI incidence,2024-11-17,4,HU,quantile,0.1,150.64775449805444
32,2024-10-30,ILI incidence,2024-10-27,1,HU,quantile,0.15,187.2097355010275
33,2024-10-30,ILI incidence,2024-11-03,2,HU,quantile,0.15,173.32707031479234
